quadkey_z12,year,quarter,date,avg_download_mbps,avg_upload_mbps,avg_lat_ms,tests
033113130003,2019,1,2019-Q1,6.027,2.17575,86.75,4
033113130010,2019,1,2019-Q1,8.24,1.896,77.0,2
033113130011,2019,1,2019-Q1,8.1125,3.1761,78.4,40
033113130013,2019,1,2019-Q1,6.904285714285715,3.382142857142857,115.07142857142857,47
033113130020,2019,1,2019-Q1,6.623620689655172,3.4987586206896553,96.65517241379311,166
033113130021,2019,1,2019-Q1,6.403,3.0723333333333334,56.0,4
033113130022,2019,1,2019-Q1,0.705,0.261,91.0,1
033113130023,2019,1,2019-Q1,10.373,13.515,33.0,3
033113130030,2019,1,2019-Q1,8.5056875,3.3185,93.8125,91
033113130031,2019,1,2019-Q1,6.125259259259259,4.369037037037037,104.77777777777777,328
033113130032,2019,1,2019-Q1,6.046,2.687,73.0,2
033113130033,2019,1,2019-Q1,1.456,1.567,178.0,1
033113130100,2019,1,2019-Q1,5.8166,2.2272,76.4,22
033113130101,2019,1,2019-Q1,5.072833333333333,1.9213333333333333,72.33333333333333,7
033113130102,2019,1,2019-Q1,4.696,4.038555555555556,106.44444444444444,52
033113130103,2019,1,2019-Q1,4.729666666666667,2.8336666666666663,145.66666666666666,18
033113130110,2019,1,2019-Q1,6.097,1.981,87.33333333333333,4
033113130120,2019,1,2019-Q1,10.163,3.083,37.0,1
033113130122,2019,1,2019-Q1,0.301,0.701,91.0,2
033113130131,2019,1,2019-Q1,5.795,3.84075,45.75,4
033113130132,2019,1,2019-Q1,16.623,2.602,97.0,1
033113130133,2019,1,2019-Q1,7.784,4.933,59.0,2
033113130200,2019,1,2019-Q1,5.318,1.713,94.0,1
033113130201,2019,1,2019-Q1,7.252,1.845,158.0,10
033113130202,2019,1,2019-Q1,8.053333333333333,1.2486666666666668,62.333333333333336,3
033113130203,2019,1,2019-Q1,1.459,0.693,78.0,5
033113130212,2019,1,2019-Q1,1.157,0.701,101.0,1
033113130213,2019,1,2019-Q1,9.3665,2.9415,44.5,2
033113130220,2019,1,2019-Q1,10.195333333333334,3.6613333333333333,56.0,8
033113130222,2019,1,2019-Q1,6.310822580645161,4.845693548387096,76.20967741935483,428
033113130223,2019,1,2019-Q1,6.2449375,5.50759375,104.65625,159
033113130230,2019,1,2019-Q1,4.092,1.971,85.0,1
033113130301,2019,1,2019-Q1,6.047,2.448,95.0,4
033113130302,2019,1,2019-Q1,2.8523333333333336,1.1183333333333332,172.66666666666666,4
033113130303,2019,1,2019-Q1,0.649,1.588,49.0,1
033113130310,2019,1,2019-Q1,6.194,2.0475,66.75,16
033113130311,2019,1,2019-Q1,6.50975,1.55,59.0,7
033113130312,2019,1,2019-Q1,3.756125,1.439,138.125,24
033113130313,2019,1,2019-Q1,1.862,1.747,39.0,1
033113130320,2019,1,2019-Q1,3.543,1.799,49.0,1
033113130321,2019,1,2019-Q1,4.025888888888889,2.5273333333333334,141.11111111111111,32
033113130322,2019,1,2019-Q1,21.011599999999998,6.8997,99.9,46
033113130323,2019,1,2019-Q1,7.6885,4.023875,79.375,30
033113130331,2019,1,2019-Q1,8.542,4.585,82.33333333333333,6
033113130333,2019,1,2019-Q1,6.182,2.895,89.33333333333333,11
033113131000,2019,1,2019-Q1,0.194,0.579,112.0,1
033113131003,2019,1,2019-Q1,5.201,5.561,91.0,2
033113131010,2019,1,2019-Q1,12.402,2.405,72.0,2
033113131011,2019,1,2019-Q1,6.128,0.231,54.0,1
033113131012,2019,1,2019-Q1,10.291923076923077,5.18823076923077,87.0,494
033113131020,2019,1,2019-Q1,4.08,1.1,75.0,1
033113131021,2019,1,2019-Q1,2.9412857142857143,2.315714285714286,77.14285714285714,21
033113131022,2019,1,2019-Q1,4.855,4.857054794520548,97.57534246575342,1268
033113131023,2019,1,2019-Q1,4.831551724137931,4.598344827586207,88.0,213
033113131032,2019,1,2019-Q1,1.453,1.14,227.0,25
033113131111,2019,1,2019-Q1,4.3235,2.389,99.5,3
033113131113,2019,1,2019-Q1,4.330666666666667,4.983666666666667,95.0,9
033113131122,2019,1,2019-Q1,0.527,2.252,157.0,2
033113131123,2019,1,2019-Q1,4.969125,4.36175,154.25,35
033113131131,2019,1,2019-Q1,10.093,5.02875,86.0,29
033113131133,2019,1,2019-Q1,0.782,1.181,101.0,2
033113131200,2019,1,2019-Q1,11.272461538461538,4.690769230769231,68.38461538461539,28
033113131210,2019,1,2019-Q1,0.887,0.6085,206.5,7
033113131211,2019,1,2019-Q1,2.131,6.377,304.0,1
033113131213,2019,1,2019-Q1,1.856,0.642,101.0,8
033113131221,2019,1,2019-Q1,2.582,10.797,33.0,2
033113131223,2019,1,2019-Q1,7.789,3.317,79.0,1
033113131323,2019,1,2019-Q1,4.73125,1.545125,90.625,44
033113132000,2019,1,2019-Q1,7.485131578947368,5.703394736842105,90.65789473684211,267
033113132001,2019,1,2019-Q1,8.4665,7.0072222222222225,65.94444444444444,211
033113132002,2019,1,2019-Q1,0.773,0.003,103.0,1
033113132021,2019,1,2019-Q1,2.771,1.798,39.0,1
033113132022,2019,1,2019-Q1,7.8460769230769225,2.601153846153846,69.76923076923077,39
033113132023,2019,1,2019-Q1,6.796,2.442,72.5,3
033113132032,2019,1,2019-Q1,3.4194,1.9447,117.1,100
033113132111,2019,1,2019-Q1,8.099333333333332,1.6486666666666667,94.33333333333333,7
033113132131,2019,1,2019-Q1,0.91,0.8035,196.5,2
033113132312,2019,1,2019-Q1,4.0218,5.510800000000001,105.2,8
033113133000,2019,1,2019-Q1,4.605,2.361,274.0,2
033113133001,2019,1,2019-Q1,5.9435,2.064,55.5,3
033113133003,2019,1,2019-Q1,5.4083000000000006,5.1925,117.7,43
033113133012,2019,1,2019-Q1,4.389,1.433,368.0,1
033113133110,2019,1,2019-Q1,6.2065,3.268,84.0,2
033113133111,2019,1,2019-Q1,0.636,2.377,45.0,1
033113133133,2019,1,2019-Q1,5.543666666666667,1.5546666666666666,47.0,3
033113133230,2019,1,2019-Q1,0.617,0.582,423.0,1
033113133312,2019,1,2019-Q1,2.025,0.343,132.0,4
033113301101,2019,1,2019-Q1,1.54,1.323,147.0,6
033113301103,2019,1,2019-Q1,1.023,0.789,46.0,2
033113301123,2019,1,2019-Q1,9.8005,1.874,138.0,3
033113303322,2019,1,2019-Q1,0.367,4.914,245.0,2
033113310003,2019,1,2019-Q1,2.789,2.158,194.0,3
033113311332,2019,1,2019-Q1,10.65,3.624,66.0,1
033113312111,2019,1,2019-Q1,3.5465999999999998,5.227600000000001,79.2,25
033113312313,2019,1,2019-Q1,6.417,2.686,47.0,1
033113313030,2019,1,2019-Q1,4.299,3.925,31.0,1
033113313120,2019,1,2019-Q1,5.12847619047619,5.7672380952380955,99.04761904761905,127
033113313121,2019,1,2019-Q1,3.3615,5.298166666666667,58.5,20
033113313122,2019,1,2019-Q1,3.489,1.156,95.5,2
033113313130,2019,1,2019-Q1,0.15,0.49,110.0,1
033113313233,2019,1,2019-Q1,6.393,2.906,39.0,1
033113313320,2019,1,2019-Q1,6.419909090909091,4.3723636363636365,66.72727272727273,45
033113331021,2019,1,2019-Q1,5.574,2.902,117.0,3
033113331201,2019,1,2019-Q1,0.123,0.287,168.0,1
033113331203,2019,1,2019-Q1,4.641733333333334,2.481133333333333,104.53333333333333,72
033113331231,2019,1,2019-Q1,3.565,2.791,48.5,2
033113332300,2019,1,2019-Q1,7.31,3.929,52.0,2
033113332302,2019,1,2019-Q1,8.002,4.147,117.0,1
033113333001,2019,1,2019-Q1,3.0915,1.407,89.5,2
033130311312,2019,1,2019-Q1,0.14,1.579,141.0,1
033130320232,2019,1,2019-Q1,10.607,4.771,151.0,5
033130320233,2019,1,2019-Q1,0.518,0.004,117.0,1
033130320300,2019,1,2019-Q1,2.046,0.816,155.0,1
033130321002,2019,1,2019-Q1,0.231,1.8895,103.0,2
033130322011,2019,1,2019-Q1,3.698,4.517,88.3076923076923,52
033130322110,2019,1,2019-Q1,0.065,2.374,177.0,1
033130322130,2019,1,2019-Q1,7.428,8.204,89.0,1
033130323030,2019,1,2019-Q1,0.164,1.178,207.0,12
033131100132,2019,1,2019-Q1,3.828,3.989,72.0,2
033131100302,2019,1,2019-Q1,5.403666666666667,4.6935,108.5,22
033131100310,2019,1,2019-Q1,5.641075471698112,6.3092075471698115,111.69811320754717,396
033131100311,2019,1,2019-Q1,5.414142857142857,6.6968571428571435,94.0,109
033131100312,2019,1,2019-Q1,4.445625,6.315875,102.75,35
033131100321,2019,1,2019-Q1,7.015,15.506,60.0,1
033131101011,2019,1,2019-Q1,0.333,2.019,115.0,1
033131101012,2019,1,2019-Q1,0.999,1.075,74.0,1
033131101021,2019,1,2019-Q1,0.16,0.004,80.0,1
033131101022,2019,1,2019-Q1,0.057,0.01,132.0,1
033131102201,2019,1,2019-Q1,10.8815,8.46,110.0,2
033131103202,2019,1,2019-Q1,11.2768,1.9822,106.0,7
033131122111,2019,1,2019-Q1,2.40575,1.082,129.25,11
033131123032,2019,1,2019-Q1,0.009,0.004,166.0,1
